country_code,country,year,gdp_per_capita_current_usd,internet_users_pct_population
BRA,Brazil,2000,3766.54811466032,2.87068515854108
BRA,Brazil,2001,3176.28935747524,4.52849486902851
BRA,Brazil,2002,2855.94018885769,9.14942508560748
BRA,Brazil,2003,3090.6070097455,13.2075861035303
BRA,Brazil,2004,3663.823188064,19.073672274442
BRA,Brazil,2005,4827.78173074714,21.022747248827
BRA,Brazil,2006,5934.14470924968,28.17840004
BRA,Brazil,2007,7409.69130673473,30.87999916
BRA,Brazil,2008,8908.33176538648,33.83
BRA,Brazil,2009,8678.6592244676,39.22
BRA,Brazil,2010,11403.2821278747,40.65
BRA,Brazil,2011,13396.6243562986,45.69
BRA,Brazil,2012,12521.7213519966,48.56
BRA,Brazil,2013,12458.8912138813,51.04
BRA,Brazil,2014,12274.9939689363,54.5510018796392
BRA,Brazil,2015,8936.19661712113,58.3279517340924
BRA,Brazil,2016,8836.28652735657,60.8725400681261
BRA,Brazil,2017,10080.5092819305,67.4712845236305
BRA,Brazil,2018,9300.66164923219,70.4342825404361
BRA,Brazil,2019,9029.83326681073,73.9124399133589
BRA,Brazil,2020,7074.19378337644,81.34269353
BRA,Brazil,2021,7972.5366498646,80.68989314
BRA,Brazil,2022,9281.33334441234,80.52775094
BRA,Brazil,2023,10377.5892792557,84.15060238
BRA,Brazil,2024,10310.5486973693,84.46347227
CAN,Canada,2000,24271.0020563821,51.3
CAN,Canada,2001,23822.096210932,60.2
CAN,Canada,2002,24256.0598742201,61.5932992681952
CAN,Canada,2003,28301.9097055898,64.2
CAN,Canada,2004,32145.5653280273,65.9559634648989
CAN,Canada,2005,36383.9671341396,71.66
CAN,Canada,2006,40504.8490329826,72.40000153
CAN,Canada,2007,44660.0838892281,73.2
CAN,Canada,2008,46710.3654423328,76.69999695
CAN,Canada,2009,40874.9612318547,80.3
CAN,Canada,2010,47560.8378831258,80.3
CAN,Canada,2011,52224.1237767406,83
CAN,Canada,2012,52670.1429540952,83
CAN,Canada,2013,52637.7313222622,85.80000305
CAN,Canada,2014,50960.8942086685,87.12000275
CAN,Canada,2015,43594.2379080706,90
CAN,Canada,2016,42314.1033623905,91.16000366
CAN,Canada,2017,45129.7335281051,92.70140076
CAN,Canada,2018,46539.2177903178,94.64
CAN,Canada,2019,46352.9695208927,91.91290283
CAN,Canada,2020,43537.8981198851,92.3
CAN,Canada,2021,52886.6407813788,93.93710327
CAN,Canada,2022,56496.9275340663,94
CAN,Canada,2023,54847.5370112652,94.14530182
CAN,Canada,2024,55015.7066917734,94.353302
CHN,China,2000,969.199513696287,1.77591320677415
CHN,China,2001,1065.40597574519,2.63965021485872
CHN,China,2002,1163.55957673426,4.59570433077551
CHN,China,2003,1306.97245408557,6.2
CHN,China,2004,1530.92726215723,7.3
CHN,China,2005,1777.64496828464,8.52325700269541
CHN,China,2006,2129.25696999613,10.5231526193851
CHN,China,2007,2734.72709877693,16
CHN,China,2008,3523.44302065213,22.6
CHN,China,2009,3898.24459158811,28.9
CHN,China,2010,4629.24551710077,34.3
CHN,China,2011,5703.76027973346,38.3
CHN,China,2012,6405.0574241349,42.30009842
CHN,China,2013,7147.03518622344,45.79999924
CHN,China,2014,7781.06597484974,47.90000153
CHN,China,2015,8175.33285077393,50.29999924
CHN,China,2016,8254.86859320357,53.2
CHN,China,2017,8979.67652709856,54.3
CHN,China,2018,10085.6638148819,65.35839844
CHN,China,2019,10342.9009524335,64.080881297515
CHN,China,2020,10627.4637989619,70.05275998
CHN,China,2021,12887.4357242941,73.05323517
CHN,China,2022,12970.6056414327,75.61131603
CHN,China,2023,12951.1782397043,90.6
CHN,China,2024,13293.1162269366,92
DEU,Germany,2000,23925.8559901991,30.2163466048889
DEU,Germany,2001,23878.3641471651,31.650939416316
DEU,Germany,2002,25486.5942008748,48.82
DEU,Germany,2003,30711.1022511331,55.9
DEU,Germany,2004,34566.7359143735,64.73
DEU,Germany,2005,35084.4363546269,68.71
DEU,Germany,2006,36980.3349948954,72.16
DEU,Germany,2007,42350.9217211489,75.16
DEU,Germany,2008,46379.1647953479,78
DEU,Germany,2009,42471.8868625226,79
DEU,Germany,2010,42396.9665976293,82
DEU,Germany,2011,47630.9761883572,81.26999953602
DEU,Germany,2012,44718.0159214069,82.3499984738392
DEU,Germany,2013,47206.8353514242,84.17
DEU,Germany,2014,48959.5991203133,86.1937006578756
DEU,Germany,2015,41929.7549110722,87.5897993525767
DEU,Germany,2016,42948.9381932694,84.1652066441212
DEU,Germany,2017,45553.9341495339,84.3941537010844
DEU,Germany,2018,48916.1686612154,87.037112092841
DEU,Germany,2019,47656.199739747,88.1345169091916
DEU,Germany,2020,47394.8734504469,89.81294133
DEU,Germany,2021,52349.2459994422,91.43060973
DEU,Germany,2022,50506.5179638543,91.62984383
DEU,Germany,2023,54776.7668235491,92.4763763
DEU,Germany,2024,56103.7323182554,93.49999579
IND,India,2000,442.750218937263,0.527532449930946
IND,India,2001,450.357900514128,0.660146377009928
IND,India,2002,469.149928973927,1.53787558175083
IND,India,2003,544.143133545002,1.68648997063625
IND,India,2004,624.258826510066,1.97613649190559
IND,India,2005,710.488080408949,2.388099909
IND,India,2006,801.668353659022,2.80549986534254
IND,India,2007,1021.88707706826,3.95
IND,India,2008,992.519584923828,4.38
IND,India,2009,1094.94974598436,5.12
IND,India,2010,1347.51939071367,7.5
IND,India,2011,1445.46127486037,10.07
IND,India,2012,1429.32199520032,11.10000038
IND,India,2013,1432.84397512195,12.30000019
IND,India,2014,1553.88396075118,13.5
IND,India,2015,1583.99815907985,14.89999962
IND,India,2016,1707.50892912243,16.5
IND,India,2017,1950.10468280866,18.20000076
IND,India,2018,1966.25455171679,20.0813000379384
IND,India,2019,2041.42863698585,29.52350044
IND,India,2020,1907.04251637669,43.40544313
IND,India,2021,2239.61384367482,49.2580986
IND,India,2022,2279.98145719369,55.9
IND,India,2023,2434.44826340989,60.25230026
IND,India,2024,2591.9916607122,64.9434967
USA,United States,2000,36329.9702595751,43.0791626375201
USA,United States,2001,37133.6203973517,49.0808315896951
USA,United States,2002,37997.7424300242,58.7854038836952
USA,United States,2003,39490.3023903176,61.6971171244207
USA,United States,2004,41724.6411982614,64.7582564759896
USA,United States,2005,44123.3996470026,67.9681015
USA,United States,2006,46301.9876485519,68.93119812
USA,United States,2007,48050.227412195,75
USA,United States,2008,48570.0594269601,74
USA,United States,2009,47194.9500893872,71
USA,United States,2010,48642.6312088213,71.69
USA,United States,2011,50024.8812320773,69.7294607619268
USA,United States,2012,51708.3940614082,74.7
USA,United States,2013,53297.3862901595,71.4
USA,United States,2014,55153.3940182967,73
USA,United States,2015,56849.4697923159,74.5542024462761
USA,United States,2016,57976.628204291,85.5444212887222
USA,United States,2017,60047.7190728307,87.2748891687657
USA,United States,2018,62875.6661382728,88.498903165152
USA,United States,2019,65227.9565911038,89.4302848575712
USA,United States,2020,64465.2971415748,90.34470367
USA,United States,2021,71441.2319805947,91.2684021
USA,United States,2022,78008.6895811877,92.72850037
USA,United States,2023,82586.7847707894,93.52559662
USA,United States,2024,86169.6641581917,94.69380188
